customer_id,purchase_date,product_category,product_price,quantity,total_purchase_amount,payment_method,age,returns,customer_name,gender,churn,purchase_year,purchase_month,purchase_quarter,purchase_day,purchase_hour
46251,2020-09-08T09:38:32Z,Electronics,12,3,740,Credit Card,37,0,Christine Hernandez,Male,0,2020,9,3,Tue,9
46251,2022-03-05T12:56:35Z,Home,468,4,2739,Paypal,37,0,Christine Hernandez,Male,0,2022,3,1,Sat,12
46251,2022-05-23T18:18:01Z,Home,288,2,3196,Paypal,37,0,Christine Hernandez,Male,0,2022,5,2,Mon,18
46251,2020-11-12T13:13:29Z,Clothing,196,1,3509,Paypal,37,0,Christine Hernandez,Male,0,2020,11,4,Thu,13
13593,2020-11-27T17:55:11Z,Home,449,1,3452,Credit Card,49,0,James Grant,Female,1,2020,11,4,Fri,17
13593,2023-03-07T14:17:42Z,Home,250,4,575,Paypal,49,1,James Grant,Female,1,2023,3,1,Tue,14
13593,2023-04-15T03:02:33Z,Electronics,73,1,1896,Credit Card,49,0,James Grant,Female,1,2023,4,2,Sat,3
13593,2021-03-27T21:23:28Z,Books,337,2,2937,Cash,49,0,James Grant,Female,1,2021,3,1,Sat,21
13593,2020-05-05T20:14:00Z,Clothing,182,2,3363,Paypal,49,1,James Grant,Female,1,2020,5,2,Tue,20
28805,2023-09-13T04:24:00Z,Electronics,394,2,1993,Credit Card,19,0,Jose Collier,Male,0,2023,9,3,Wed,4
28805,2021-03-31T09:50:57Z,Clothing,366,1,246,Paypal,19,0,Jose Collier,Male,0,2021,3,1,Wed,9
28805,2021-01-18T22:42:24Z,Books,348,1,2682,Credit Card,19,1,Jose Collier,Male,0,2021,1,1,Mon,22
28805,2020-01-07T12:57:35Z,Books,103,4,731,Cash,19,0,Jose Collier,Male,0,2020,1,1,Tue,12
28805,2021-02-12T20:33:20Z,Books,240,1,2563,Paypal,19,0,Jose Collier,Male,0,2021,2,1,Fri,20
28805,2020-07-02T02:54:37Z,Clothing,368,1,1342,Credit Card,19,0,Jose Collier,Male,0,2020,7,3,Thu,2
28961,2021-04-25T23:55:21Z,Books,30,1,4135,Paypal,55,0,James Stein,Male,0,2021,4,2,Sun,23
28961,2020-01-13T09:57:17Z,Books,153,5,698,Credit Card,55,0,James Stein,Male,0,2020,1,1,Mon,9
28961,2023-06-18T21:34:27Z,Clothing,259,1,2975,Credit Card,55,0,James Stein,Male,0,2023,6,2,Sun,21
28961,2021-09-10T00:39:41Z,Books,489,3,2213,Credit Card,55,1,James Stein,Male,0,2021,9,3,Fri,0
28961,2023-06-01T19:07:10Z,Books,232,3,4452,Paypal,55,1,James Stein,Male,0,2023,6,2,Thu,19
12163,2021-12-18T17:49:18Z,Clothing,255,2,1642,Credit Card,67,0,Sonia Moreno,Male,0,2021,12,4,Sat,17
12163,2020-06-20T05:56:17Z,Books,227,3,887,Paypal,67,0,Sonia Moreno,Male,0,2020,6,2,Sat,5
12163,2023-07-08T13:36:47Z,Clothing,288,2,1405,Paypal,67,0,Sonia Moreno,Male,0,2023,7,3,Sat,13
12163,2023-07-01T12:36:00Z,Books,60,3,4130,Cash,67,0,Sonia Moreno,Male,0,2023,7,3,Sat,12
12163,2022-11-16T08:56:03Z,Home,285,4,384,Crypto,67,0,Sonia Moreno,Male,0,2022,11,4,Wed,8
12163,2020-04-07T04:24:44Z,Books,100,5,1273,Cash,67,0,Sonia Moreno,Male,0,2020,4,2,Tue,4
12163,2020-11-28T16:48:01Z,Electronics,28,4,495,Credit Card,67,0,Sonia Moreno,Male,0,2020,11,4,Sat,16
12163,2020-08-21T09:23:52Z,Electronics,382,2,1532,Paypal,67,1,Sonia Moreno,Male,0,2020,8,3,Fri,9
12163,2023-04-24T23:55:44Z,Home,400,5,1673,Credit Card,67,1,Sonia Moreno,Male,0,2023,4,2,Mon,23
28248,2023-04-09T01:33:30Z,Clothing,410,1,445,Cash,48,0,Kelly Ramirez,Male,1,2023,4,2,Sun,1
28248,2020-04-26T21:19:56Z,Books,70,5,1037,Paypal,48,0,Kelly Ramirez,Male,1,2020,4,2,Sun,21
28248,2023-09-12T20:36:28Z,Home,243,3,2516,Paypal,48,0,Kelly Ramirez,Male,1,2023,9,3,Tue,20
28248,2021-06-25T14:52:44Z,Home,131,4,2019,Paypal,48,0,Kelly Ramirez,Male,1,2021,6,2,Fri,14
28248,2021-11-24T07:13:08Z,Home,327,1,1496,Cash,48,0,Kelly Ramirez,Male,1,2021,11,4,Wed,7
28248,2022-09-22T17:12:16Z,Books,405,3,1687,Paypal,48,1,Kelly Ramirez,Male,1,2022,9,3,Thu,17
28248,2021-08-03T09:41:40Z,Electronics,219,2,468,Paypal,48,0,Kelly Ramirez,Male,1,2021,8,3,Tue,9
6761,2021-11-29T12:56:23Z,Books,218,5,3034,Credit Card,46,0,Johnny Peterson,Female,0,2021,11,4,Mon,12
6761,2020-11-23T05:27:32Z,Clothing,304,4,3110,Cash,46,0,Johnny Peterson,Female,0,2020,11,4,Mon,5
6761,2020-01-08T05:34:28Z,Clothing,20,4,3075,Paypal,46,0,Johnny Peterson,Female,0,2020,1,1,Wed,5
6761,2021-05-10T17:46:35Z,Home,400,2,1036,Cash,46,0,Johnny Peterson,Female,0,2021,5,2,Mon,17
17018,2023-06-27T03:47:09Z,Home,227,2,1953,Cash,21,1,Jerry Mendoza,Male,0,2023,6,2,Tue,3
17018,2022-01-17T11:15:32Z,Clothing,285,3,4630,Credit Card,21,1,Jerry Mendoza,Male,0,2022,1,1,Mon,11
17018,2022-03-03T04:41:32Z,Books,31,1,268,Credit Card,21,0,Jerry Mendoza,Male,0,2022,3,1,Thu,4
17018,2020-05-10T00:33:28Z,Books,434,4,456,Paypal,21,0,Jerry Mendoza,Male,0,2020,5,2,Sun,0
17018,2022-12-09T08:32:41Z,Home,156,3,3937,Credit Card,21,0,Jerry Mendoza,Male,0,2022,12,4,Fri,8
17018,2021-04-30T13:16:25Z,Clothing,119,3,3967,Paypal,21,0,Jerry Mendoza,Male,0,2021,4,2,Fri,13
17018,2020-06-25T00:15:16Z,Electronics,53,4,3729,Paypal,21,1,Jerry Mendoza,Male,0,2020,6,2,Thu,0
11462,2020-01-12T09:59:22Z,Clothing,485,3,509,Paypal,32,1,Cory Wagner,Female,0,2020,1,1,Sun,9
11462,2023-01-12T07:48:01Z,Home,191,4,1785,Paypal,32,0,Cory Wagner,Female,0,2023,1,1,Thu,7
11462,2022-01-04T00:05:56Z,Books,31,5,1464,Cash,32,0,Cory Wagner,Female,0,2022,1,1,Tue,0
11462,2020-08-27T13:27:00Z,Home,355,5,1799,Credit Card,32,1,Cory Wagner,Female,0,2020,8,3,Thu,13
11462,2023-02-27T13:50:56Z,Books,284,3,297,Crypto,32,0,Cory Wagner,Female,0,2023,2,1,Mon,13
11462,2020-04-20T14:48:00Z,Clothing,82,5,3439,Cash,32,0,Cory Wagner,Female,0,2020,4,2,Mon,14
43388,2020-05-14T22:22:00Z,Home,370,5,1034,Cash,32,1,Cory Zuniga,Female,0,2020,5,2,Thu,22
43388,2020-12-02T18:32:31Z,Clothing,380,2,840,Credit Card,32,1,Cory Zuniga,Female,0,2020,12,4,Wed,18
